Nombre Común,Nombre Científico,Tipo especie forestal,Habito de crecimiento,Rango de Altura,Santa Elena (Vivero Centro de Conservación de la Biodiversidad La Aguada),Hispania (Vivero El Pedral),San Jerónimo (Vivero del Occidente Antioqueño)
ABARCO,Cariniana pyriformis,Especie arbórea,Árbol grande,20-50 mt,,X,X
ABUTILON NARANJADO,Abutilon sp,Especie arbórea,Árbol pequeño,3-10 mt,X,,
ABUTILON ROSADO,Abutilon sp,Especie arbórea,Árbol pequeño,3-10 mt,X,,
ABUTILON AMARILLO,Abutilon sp,Especie arbórea,Árbol pequeño,3-10 mt,X,,
ABUTILON ROJO,Abutilon sp,Especie arbórea,Árbol pequeño,3-10 mt,X,,
ABUTILON VARIEGADO,Abutilon sp,Especie arbórea,Árbol pequeño,3-10 mt,X,,
ACACIA ROJA,Delonix regia,Especie arbórea,Árbol mediano,10-20 mt,,X,X
ACACIA ROSADA,Cassia grandis,Especie arbórea,Árbol mediano,10-20 mt,,X,X
ACEITUNO,Humiriastrum colombianum,Especie arbórea,Árbol mediano,10-20 mt,,X,X
ACHIOTE,Bixia Orellana,Especie arbórea,Árbol pequeño,3-10 mt,,X,X
AGUACATILLO,Persea caerulea,Especie arbórea,Árbol mediano,10-20 mt,X,X,X
AGUADULCE,Palicourea sp,Especie arbórea,Árbol pequeño,3-10 mt,X,,
ALCAPARRO CRIOLLO,Cassia tomentosa,Especie arbórea,Árbol pequeño,3-10 mt,X,,
ALCAPARRO ENANO,Senna sp.,Especie arbórea,Árbol pequeño,3-10 mt,X,,
ALCAPARRO GIGANTE,Chamaesenna colombiana,Especie arbórea,Árbol mediano,10-20 mt,X,,
ALCAPARRO PALO BONITO,Cassia sp.,Especie arbórea,Árbol mediano,10-20 mt,X,,
ALGARROBILLO,Hymenaea oblongifolia,Especie arbórea,Árbol mediano,10-20 mt,,X,X
ALGARROBO,Hymenaea courbaril,Especie arbórea,Árbol grande,20-50 mt,,X,X
ALISO,Alnus jorullensis,Especie arbórea,Árbol mediano,10-20 mt,X,,
ALMENDRO,Terminalia catapa,Especie arbórea,Árbol mediano,10-20 mt,,X,X
AMARRABOLLO REAL,Blakea princeps,Especie arbórea,Árbol mediano,10-20 mt,X,,
